item,snr_db_global,ncc_global,skill_global,psd_logl2_global,psd_rel_global,robust_snr_db_global,snr_db_Z,snr_db_N,snr_db_E,ncc_Z,ncc_N,ncc_E,skill_Z,skill_N,skill_E,robust_snr_db_Z,robust_snr_db_N,robust_snr_db_E,psd_logl2_Z,psd_logl2_N,psd_logl2_E,psd_rel_Z,psd_rel_N,psd_rel_E
53519,-0.35447229955638326,0.02812071703374386,-0.08504366874694824,16.98243522644043,3331181.5,0.06480637097389486,-1.1209089689005063,-0.9023465633113867,0.7505345634694265,0.005117860622704029,-0.47832629084587097,0.4025103449821472,-0.2944667339324951,-0.23093366622924805,0.158708393573761,0.00045012261649475386,2.3761594982041636,1.9548650255883648,17.942232131958008,16.174755096435547,17.945037841796875,3486818.0,2865047.75,3883900.0
833,2.407026574968871,0.6786258816719055,0.4254903197288513,18.438955307006836,3580448.0,-1.0445964206496865,7.0495672061061665,1.360073208353204,9.854916421226905,0.8960121273994446,0.5882586240768433,0.9521482586860657,0.8027380704879761,0.2688732147216797,0.8966028690338135,7.051764756620518,6.655210584187242,10.2959024232341,20.637990951538086,19.818113327026367,22.740673065185547,4495641.0,7676524.5,4165440.75
51037,8.28733160763879,0.9249809980392456,0.8516570925712585,12.743563652038574,3738051.25,-0.04317953471984515,2.7550559424034233,8.826426790548414,8.881270186956185,0.6872881650924683,0.9336517453193665,0.9360914826393127,0.46973323822021484,0.8689740300178528,0.8706182241439819,4.5126141439041865,10.324243913976812,10.324221002569736,12.171059608459473,14.670695304870605,15.016189575195312,2243569.5,18635808.0,23726274.0
54368,0.723340073977905,0.431662380695343,0.15342390537261963,13.37674331665039,2267036.0,0.8955303810905235,0.9261355540648115,0.05235088960688173,1.4262333964044147,0.5207309126853943,0.17164801061153412,0.5580055713653564,0.19204634428024292,0.01198190450668335,0.27992671728134155,1.6790483931745168,0.708521822043978,1.620141683794172,13.731362342834473,14.313423156738281,14.63245964050293,1935418.5,1463873.125,3856909.0
25540,13.975537916709408,0.9909195303916931,0.959964394569397,10.529017448425293,830322.625,17.428400914316143,12.483958998230367,12.389678736264463,17.43389978293183,0.9851515889167786,0.9901174902915955,0.9971307516098022,0.9435577988624573,0.9423190951347351,0.9819445013999939,15.305250291583972,17.062563976087088,22.418292458644093,10.781699180603027,12.100921630859375,11.841238021850586,2352388.5,1645956.875,2773407.5
36506,3.842619710180186,0.7663905620574951,0.5872015953063965,27.708621978759766,11167431.0,3.84422939474676,0.5437226968585831,5.84070551489754,-1.759931197348853,0.49275603890419006,0.8660722970962524,0.050111010670661926,0.1176767349243164,0.7394269704818726,-0.49966108798980713,1.3127527646300674,6.022012073409017,0.0898620265549453,29.845266342163086,24.39541244506836,28.02219009399414,22635148.0,3552664.25,5345936.0
42403,-16.255193899210543,-0.046216681599617004,-41.220115661621094,38.327545166015625,19484656.0,0.051236802440287235,-33.80089440757797,-15.674308331985765,-7.468953967878572,-0.15010617673397064,-0.18416084349155426,-0.037081845104694366,-2398.326904296875,-35.93437957763672,-4.583356857299805,0.33614161738466924,1.0293435680629983,0.04304386034296742,45.732017517089844,34.5333137512207,31.913341522216797,77129032.0,12386908.0,5539783.0
52593,5.893515762814854,0.8617585897445679,0.7425763607025146,12.85828685760498,12576305.0,-0.23852078870486057,4.555041339238804,6.037931562425507,7.241589439458123,0.806039571762085,0.8668168187141418,0.9007289409637451,0.6496550440788269,0.7509956955909729,0.8112699389457703,11.242041368994013,11.141509449314169,11.840588627279313,11.295455932617188,11.607311248779297,14.531194686889648,3704822.75,1971547.875,11972202.0
41791,0.5643679960461844,0.43875718116760254,0.12186115980148315,19.25605583190918,2272591.5,0.1502183321119244,-1.1064894611994966,1.7083198315130121,0.38424640936432325,0.24120867252349854,0.5779815912246704,0.3718692362308502,-0.29017603397369385,0.32521092891693115,0.08467495441436768,0.6994314198867295,1.7656662465143989,0.7269350782723862,18.42345428466797,20.453710556030273,22.43601417541504,1889000.875,1808512.375,9004828.0
28275,-3.2033559352539775,-0.1126013994216919,-1.0909111499786377,17.68753433227539,3736181.75,0.12581259339305023,-9.61633644449068,1.5771050869007672,-3.094258302526316,0.28898346424102783,0.678689181804657,-0.5859156250953674,-8.15447998046875,0.30451226234436035,-1.0390403270721436,0.4841638145414759,2.6810435680374542,4.029366171987915,17.13872718811035,18.383132934570312,17.614824295043945,3426822.5,4543923.0,6323778.5
